FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID_2,Join_Cou_1,TARGET_F_1,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Leng,floor,Shape_Le_1,Shape_Area,memebershi,membership,Field1,V1,V2,V3
0,1,3,0,1,10,0,1,1,MARINA SOUTH,MSSZ01,0,362393,5267.381024,925748,5267.381024,1630379.268,Central,Central,150,MSSZ01,1,1
1,2,11,1,2,16,1,2,1,PEARL'S HILL,OTSZ01,7710,367889,3506.107376,495177,3506.107376,559816.2454,Central,Central,167,OTSZ01,1,1
2,3,314,2,3,358,2,3,3,BOAT QUAY,SRSZ03,140,134587,1740.925766,152698,1740.925766,160807.4977,Central,Central,255,SRSZ03,1,1
3,4,0,3,4,0,3,4,8,HENDERSON HILL,BMSZ08,11870,0,3313.624904,0,3313.624904,595428.886,Central,Central,41,BMSZ08,1,1
4,5,0,4,5,0,4,5,3,REDHILL,BMSZ03,12190,0,2825.594099,0,2825.594099,387429.44,Central,Central,36,BMSZ03,1,1
5,6,88,5,6,95,5,6,7,ALEXANDRA HILL,BMSZ07,14830,1068580,4428.913436,1085700,4428.913436,1030378.786,Central,West Coast,40,BMSZ07,1,4
6,7,2,6,7,3,6,7,9,BUKIT HO SWEE,BMSZ09,15650,110853,3275.312488,183604,3275.312488,551732.0495,Central,Central,42,BMSZ09,1,1
7,8,21,7,8,23,7,8,2,CLARKE QUAY,SRSZ02,120,263689,2208.619299,292085,2208.619299,290184.6527,Central,Central,254,SRSZ02,1,1
8,9,6,8,9,10,8,9,13,PASIR PANJANG 1,QTSZ13,4250,502478,6571.323082,526602,6571.323082,1084792.321,West Coast,West Coast,206,QTSZ13,2,4
9,10,0,9,10,0,9,10,7,QUEENSWAY,QTSZ07,280,0,3454.239283,0,3454.239283,631644.2893,Central,West Coast,200,QTSZ07,1,4
10,11,19,10,11,23,10,11,12,KENT RIDGE,QTSZ12,940,585156,7439.547656,635494,7439.547656,1826848.561,West Coast,West Coast,205,QTSZ12,2,4
11,12,0,11,12,0,11,12,6,ALEXANDRA NORTH,BMSZ06,1060,0,2907.051461,0,2907.051461,293706.3988,Central,Central,39,BMSZ06,1,1
12,14,1,13,14,2,13,14,5,INSTITUTION HILL,RVSZ05,3460,2985.540039,2842.525505,8027.740234,2842.525505,392563.3398,Central,Central,222,RVSZ05,1,1
13,15,8,14,15,16,14,15,1,ROBERTSON QUAY,SRSZ01,2640,158308,4995.758114,222204,4995.758114,506588.9598,Central,Central,253,SRSZ01,1,1
14,20,16,19,20,25,19,20,1,SENTOSA,SISZ01,1690,431476,17496.19374,1059280,17496.19374,4919132.37,Central,Central,245,SISZ01,1,1
15,21,1,20,21,2,20,21,17,CITY TERMINALS,BMSZ17,40,34948.19922,16805.6555,49278.89844,16805.6555,3449640.607,Central,Central,50,BMSZ17,1,1
16,22,24,21,22,30,21,22,10,ANSON,DTSZ10,90,246993,1586.100059,285172,1586.100059,103238.4821,Central,Central,97,DTSZ10,1,1
17,23,0,22,23,3,22,23,1,STRAITS VIEW,SVSZ01,0,0,5277.760827,1200030,5277.760827,1127297.237,Central,Central,256,SVSZ01,1,1
18,24,12,23,24,13,23,24,1,MARITIME SQUARE,BMSZ01,2770,154409,13737.11618,154658,13737.11618,2701634.34,Central,Central,34,BMSZ01,1,1
19,25,0,24,25,0,24,25,14,TELOK BLANGAH WAY,BMSZ14,10160,0,2290.227262,0,2290.227262,276826.8125,Central,Central,47,BMSZ14,1,1
20,26,4,25,26,4,25,26,7,MAXWELL,DTSZ07,0,36436.60156,1419.801857,36436.60156,1419.801857,63664.96677,Central,Central,94,DTSZ07,1,1
