"","V1","V2"
"1","BDSZ01","4"
"2","BDSZ03","4"
"3","BKSZ07","2"
"4","BPSZ01","11"
"5","BPSZ02","11"
"6","BPSZ03","11"
"7","BPSZ04","11"
"8","BPSZ05","11"
"9","GLSZ03","4"
"10","HGSZ06","3"
"11","KLSZ01","5"
"12","KLSZ08","5"
"13","KLSZ09","1"
"14","PGSZ01","3"
"15","PGSZ04","3"
"16","PGSZ05","3"
"17","PNSZ01","13"
"18","PNSZ02","13"
"19","QTSZ13","2"
"20","RCSZ03","5"
"21","SESZ02","3"
"22","SESZ04","3"
"23","SESZ05","3"
"24","SESZ06","3"
"25","SGSZ05","3"
"26","SVSZ01","1"
"27","TMSZ03","6"
"28","TMSZ05","6"
"29","TPSZ10","4"
"30","TSSZ02","12"
"31","BDSZ02","4"
"32","BKSZ01","2"
"33","BPSZ07","2"
"34","BTSZ06","2"
"35","CKSZ01","11"
"36","DTSZ04","1"
"37","DTSZ06","1"
"38","KLSZ03","5"
"39","KLSZ05","4"
"40","KLSZ07","5"
"41","MUSZ03","1"
"42","PGSZ03","3"
"43","QTSZ03","1"
"44","SKSZ02","10"
"45","TPSZ09","5"
"46","TSSZ03","12"
"47","BPSZ06","2"
"48","BTSZ03","2"
"49","BTSZ08","1"
"50","QTSZ09","2"
"51","RCSZ09","5"
"52","SRSZ02","1"
"53","TMSZ04","6"
"54","GLSZ04","4"
"55","PGSZ02","3"
"56","PRSZ03","6"
"57","RCSZ04","5"
"58","SESZ03","3"
"59","TNSZ04","1"
"60","BDSZ06","4"
"61","BSSZ01","9"
"62","GLSZ02","4"
"63","GLSZ05","4"
"64","KLSZ02","5"
"65","BKSZ04","2"
"66","BTSZ01","2"
"67","DTSZ01","1"
"68","KLSZ06","5"
"69","RCSZ10","1"
"70","SESZ07","3"
"71","TMSZ02","6"
"72","BTSZ07","2"
"73","CHSZ03","6"
"74","DTSZ03","1"
"75","DTSZ12","1"
"76","HGSZ01","3"
"77","QTSZ15","2"
"78","TPSZ12","4"
"79","WDSZ06","10"
"80","BDSZ04","4"
"81","NVSZ02","5"
"82","OTSZ04","1"
"83","BMSZ05","1"
"84","NTSZ03","1"
"85","SGSZ06","3"
"86","TNSZ01","1"
"87","JESZ04","2"
"88","AMSZ03","9"
"89","AMSZ04","9"
"90","AMSZ05","9"
"91","AMSZ06","9"
"92","AMSZ07","9"
"93","AMSZ09","9"
"94","AMSZ10","9"
"95","AMSZ11","9"
"96","AMSZ12","9"
"97","BDSZ05","4"
"98","BDSZ07","4"
"99","BDSZ08","4"
"100","BKSZ05","2"
"101","BKSZ08","2"
"102","BKSZ09","2"
"103","BLSZ01","8"
"104","BMSZ01","1"
"105","BMSZ02","1"
"106","BMSZ03","1"
"107","BMSZ04","1"
"108","BMSZ08","1"
"109","BMSZ09","1"
"110","BMSZ10","1"
"111","BMSZ13","1"
"112","BMSZ15","1"
"113","BMSZ16","1"
"114","BMSZ17","1"
"115","BSSZ02","9"
"116","BTSZ02","2"
"117","CCSZ01","9"
"118","CLSZ01","2"
"119","CLSZ04","2"
"120","CLSZ05","2"
"121","CLSZ07","2"
"122","CLSZ08","2"
"123","DTSZ02","1"
"124","DTSZ05","1"
"125","DTSZ10","1"
"126","DTSZ11","1"
"127","GLSZ01","5"
"128","HGSZ02","3"
"129","HGSZ03","3"
"130","HGSZ04","3"
"131","HGSZ08","3"
"132","HGSZ09","4"
"133","JESZ02","2"
"134","JESZ06","2"
"135","JESZ08","2"
"136","JESZ10","2"
"137","JWSZ06","8"
"138","KLSZ04","4"
"139","MPSZ02","4"
"140","MUSZ01","1"
"141","MUSZ02","1"
"142","NTSZ02","1"
"143","NVSZ01","5"
"144","NVSZ03","5"
"145","NVSZ04","5"
"146","NVSZ05","5"
"147","ORSZ02","1"
"148","ORSZ03","1"
"149","OTSZ02","1"
"150","PLSZ02","3"
"151","PLSZ03","6"
"152","PLSZ05","3"
"153","PRSZ04","6"
"154","PRSZ06","6"
"155","PRSZ07","6"
"156","PRSZ08","6"
"157","QTSZ01","2"
"158","QTSZ02","1"
"159","QTSZ04","1"
"160","QTSZ06","1"
"161","QTSZ07","1"
"162","QTSZ10","2"
"163","QTSZ11","2"
"164","QTSZ12","2"
"165","RCSZ01","5"
"166","RCSZ02","1"
"167","RCSZ05","1"
"168","RCSZ06","5"
"169","RCSZ08","5"
"170","RVSZ01","1"
"171","RVSZ02","1"
"172","RVSZ03","1"
"173","RVSZ04","1"
"174","RVSZ05","1"
"175","SBSZ02","7"
"176","SBSZ03","7"
"177","SBSZ05","7"
"178","SBSZ09","10"
"179","SGSZ07","3"
"180","SISZ01","1"
"181","SKSZ01","10"
"182","SKSZ03","10"
"183","SRSZ01","1"
"184","SRSZ03","1"
"185","THSZ01","11"
"186","TNSZ02","1"
"187","TNSZ03","1"
"188","TPSZ01","5"
"189","TPSZ04","5"
"190","TPSZ07","5"
"191","TPSZ08","5"
"192","WDSZ02","10"
"193","WDSZ08","10"
"194","WDSZ09","10"
"195","YSSZ03","7"
"196","YSSZ04","7"
"197","YSSZ05","7"
"198","YSSZ06","9"
"199","WDSZ03","10"
"200","CKSZ06","11"
"201","JWSZ04","8"
"202","CKSZ03","11"
"203","YSSZ08","7"
"204","TPSZ02","5"
"205","AMSZ01","9"
"206","BLSZ02","8"
"207","BMSZ06","1"
"208","BMSZ14","1"
"209","BTSZ05","2"
"210","CHSZ01","6"
"211","CHSZ02","6"
"212","JESZ05","2"
"213","JESZ07","2"
"214","JWSZ03","8"
"215","MPSZ01","4"
"216","NTSZ05","1"
"217","PNSZ03","13"
"218","PRSZ01","6"
"219","QTSZ08","2"
"220","SBSZ06","7"
"221","SGSZ02","9"
"222","SGSZ04","3"
"223","TMSZ01","6"
"224","TPSZ11","5"
"225","WDSZ01","10"
"226","WDSZ04","10"
"227","WDSZ05","10"
"228","YSSZ07","7"
"229","DTSZ09","1"
"230","BKSZ03","2"
"231","BMSZ11","1"
"232","BSSZ03","9"
"233","CLSZ03","2"
"234","JESZ01","2"
"235","JESZ09","8"
"236","JWSZ02","8"
"237","JWSZ09","8"
"238","OTSZ01","1"
"239","QTSZ05","1"
"240","SBSZ04","7"
