"","V1","V2","V3"
"1","AMSZ01","3","6"
"2","AMSZ02","3","6"
"3","AMSZ03","3","6"
"4","AMSZ04","3","6"
"5","AMSZ05","3","6"
"6","AMSZ06","3","6"
"7","AMSZ07","3","6"
"8","AMSZ08","3","6"
"9","AMSZ09","3","6"
"10","AMSZ10","3","6"
"11","AMSZ11","3","6"
"12","AMSZ12","3","6"
"13","BDSZ01","4","3"
"14","BDSZ02","4","8"
"15","BDSZ03","4","3"
"16","BDSZ04","4","8"
"17","BDSZ05","4","3"
"18","BDSZ06","4","8"
"19","BDSZ07","4","3"
"20","BDSZ08","4","8"
"21","BKSZ01","2","7"
"22","BKSZ02","2","2"
"23","BKSZ03","2","2"
"24","BKSZ04","2","2"
"25","BKSZ05","2","2"
"26","BKSZ06","2","2"
"27","BKSZ07","2","2"
"28","BKSZ08","2","2"
"29","BKSZ09","2","2"
"30","BLSZ01","7","2"
"31","BLSZ02","7","2"
"32","BLSZ03","7","2"
"33","BLSZ04","7","11"
"34","BMSZ01","1","1"
"35","BMSZ02","1","1"
"36","BMSZ03","1","1"
"37","BMSZ04","1","1"
"38","BMSZ05","1","1"
"39","BMSZ06","1","1"
"40","BMSZ07","1","4"
"41","BMSZ08","1","1"
"42","BMSZ09","1","1"
"43","BMSZ10","1","1"
"44","BMSZ11","1","1"
"45","BMSZ12","1","4"
"46","BMSZ13","1","4"
"47","BMSZ14","1","1"
"48","BMSZ15","1","1"
"49","BMSZ16","1","1"
"50","BMSZ17","1","1"
"51","BPSZ01","11","7"
"52","BPSZ02","11","7"
"53","BPSZ03","11","7"
"54","BPSZ04","11","7"
"55","BPSZ05","11","7"
"56","BPSZ06","11","7"
"57","BPSZ07","11","2"
"58","BSSZ01","3","6"
"59","BSSZ02","3","6"
"60","BSSZ03","3","9"
"61","BTSZ01","2","2"
"62","BTSZ02","2","2"
"63","BTSZ03","2","4"
"64","BTSZ04","2","4"
"65","BTSZ05","2","4"
"66","BTSZ06","2","4"
"67","BTSZ07","2","4"
"68","BTSZ08","1","4"
"69","CCSZ01","3","6"
"70","CHSZ01","6","8"
"71","CHSZ02","6","8"
"72","CHSZ03","6","8"
"73","CKSZ01","11","7"
"74","CKSZ02","11","7"
"75","CKSZ03","11","7"
"76","CKSZ04","11","7"
"77","CKSZ05","11","7"
"78","CKSZ06","11","7"
"79","CLSZ01","2","2"
"80","CLSZ02","2","2"
"81","CLSZ03","2","2"
"82","CLSZ04","2","2"
"83","CLSZ05","2","2"
"84","CLSZ06","2","2"
"85","CLSZ07","2","2"
"86","CLSZ08","2","2"
"87","CLSZ09","2","2"
