"","V1","V2"
"1","AMSZ01","3"
"2","AMSZ02","3"
"3","AMSZ03","3"
"4","AMSZ04","3"
"5","AMSZ05","3"
"6","AMSZ06","3"
"7","AMSZ07","3"
"8","AMSZ08","3"
"9","AMSZ09","3"
"10","AMSZ10","3"
"11","AMSZ11","3"
"12","AMSZ12","3"
"13","BDSZ01","4"
"14","BDSZ02","4"
"15","BDSZ03","4"
"16","BDSZ04","4"
"17","BDSZ05","4"
"18","BDSZ06","4"
"19","BDSZ07","4"
"20","BDSZ08","4"
"21","BKSZ01","2"
"22","BKSZ02","2"
"23","BKSZ03","2"
"24","BKSZ04","2"
"25","BKSZ05","2"
"26","BKSZ06","2"
"27","BKSZ07","2"
"28","BKSZ08","2"
"29","BKSZ09","2"
"30","BLSZ01","7"
"31","BLSZ02","7"
"32","BLSZ03","7"
"33","BLSZ04","7"
"34","BMSZ01","1"
"35","BMSZ02","1"
"36","BMSZ03","1"
"37","BMSZ04","1"
"38","BMSZ05","1"
"39","BMSZ06","1"
"40","BMSZ07","1"
"41","BMSZ08","1"
"42","BMSZ09","1"
"43","BMSZ10","1"
"44","BMSZ11","1"
"45","BMSZ12","1"
"46","BMSZ13","1"
"47","BMSZ14","1"
"48","BMSZ15","1"
"49","BMSZ16","1"
"50","BMSZ17","1"
"51","BPSZ01","11"
"52","BPSZ02","11"
"53","BPSZ03","11"
"54","BPSZ04","11"
"55","BPSZ05","11"
"56","BPSZ06","11"
"57","BPSZ07","11"
"58","BSSZ01","3"
"59","BSSZ02","3"
"60","BSSZ03","3"
"61","BTSZ01","2"
"62","BTSZ02","2"
"63","BTSZ03","2"
"64","BTSZ04","2"
"65","BTSZ05","2"
"66","BTSZ06","2"
"67","BTSZ07","2"
"68","BTSZ08","1"
"69","CCSZ01","3"
"70","CHSZ01","6"
"71","CHSZ02","6"
"72","CHSZ03","6"
"73","CKSZ01","11"
"74","CKSZ02","11"
"75","CKSZ03","11"
"76","CKSZ04","11"
"77","CKSZ05","11"
"78","CKSZ06","11"
"79","CLSZ01","2"
"80","CLSZ02","2"
"81","CLSZ03","2"
"82","CLSZ04","2"
"83","CLSZ05","2"
"84","CLSZ06","2"
"85","CLSZ07","2"
"86","CLSZ08","2"
"87","CLSZ09","2"
"88","DTSZ01","1"
"89","DTSZ02","1"
"90","DTSZ03","1"
"91","DTSZ04","1"
"92","DTSZ05","1"
"93","DTSZ06","1"
"94","DTSZ07","1"
"95","DTSZ08","1"
"96","DTSZ09","1"
"97","DTSZ10","1"
"98","DTSZ11","1"
"99","DTSZ12","1"
"100","GLSZ01","5"
"101","GLSZ02","4"
"102","GLSZ03","4"
"103","GLSZ04","4"
"104","GLSZ05","4"
"105","HGSZ01","3"
"106","HGSZ02","3"
"107","HGSZ03","3"
"108","HGSZ04","3"
