FID,Join_Count,TARGET_FID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Area,floor
0,10,0,1,MARINA SOUTH,MSSZ01,0,362393,1630379.268,925748
1,16,1,1,PEARL'S HILL,OTSZ01,7710,367889,559816.2454,495177
2,358,2,3,BOAT QUAY,SRSZ03,140,134587,160807.4977,152698
3,0,3,8,HENDERSON HILL,BMSZ08,11870,0,595428.886,0
4,0,4,3,REDHILL,BMSZ03,12190,0,387429.44,0
5,95,5,7,ALEXANDRA HILL,BMSZ07,14830,1068580,1030378.786,1085700
6,3,6,9,BUKIT HO SWEE,BMSZ09,15650,110853,551732.0495,183604
7,23,7,2,CLARKE QUAY,SRSZ02,120,263689,290184.6527,292085
8,10,8,13,PASIR PANJANG 1,QTSZ13,4250,502478,1084792.321,526602
9,0,9,7,QUEENSWAY,QTSZ07,280,0,631644.2893,0
10,23,10,12,KENT RIDGE,QTSZ12,940,585156,1826848.561,635494
11,0,11,6,ALEXANDRA NORTH,BMSZ06,1060,0,293706.3988,0
12,0,12,1,MARINA EAST,MESZ01,0,0,1844060.675,0
13,2,13,5,INSTITUTION HILL,RVSZ05,3460,2985.540039,392563.3398,8027.740234
14,16,14,1,ROBERTSON QUAY,SRSZ01,2640,158308,506588.9598,222204
15,0,15,1,JURONG ISLAND AND BUKOM,WISZ01,10,0,36707720.92,0
16,0,16,3,SUDONG,WISZ03,0,0,4207271.094,0
17,0,17,2,SEMAKAU,WISZ02,0,0,4963787.104,0
18,0,18,2,SOUTHERN GROUP,SISZ02,0,0,2206319.456,0
19,25,19,1,SENTOSA,SISZ01,1690,431476,4919132.37,1059280
20,2,20,17,CITY TERMINALS,BMSZ17,40,34948.19922,3449640.607,49278.89844
21,30,21,10,ANSON,DTSZ10,90,246993,103238.4821,285172
22,3,22,1,STRAITS VIEW,SVSZ01,0,0,1127297.237,1200030
23,13,23,1,MARITIME SQUARE,BMSZ01,2770,154409,2701634.34,154658
24,0,24,14,TELOK BLANGAH WAY,BMSZ14,10160,0,276826.8125,0
25,4,25,7,MAXWELL,DTSZ07,0,36436.60156,63664.96677,36436.60156
26,44,26,8,CECIL,DTSZ08,220,711817,196619.8632,863942
27,3,27,11,KAMPONG TIONG BAHRU,BMSZ11,9810,84586,365333.4262,84586
28,1,28,13,TELOK BLANGAH DRIVE,BMSZ13,16490,0,1454827.646,10937.7998
29,46,29,14,PASIR PANJANG 2,QTSZ14,3330,874578,853206.5717,1003090
30,35,30,11,CENTRAL SUBZONE,DTSZ11,610,828748,1070723.256,4272740
31,2,31,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,10,226369,533017.3907,226369
32,6,32,12,DEPOT ROAD,BMSZ12,5900,184582,442502.8276,195520
33,6,33,2,PEOPLE'S PARK,OTSZ02,320,237744,93140.43764,267859
34,22,34,2,BUKIT MERAH,BMSZ02,1150,457788,411722.8226,580959
35,1229,35,3,CHINATOWN,OTSZ03,11320,441767,587222.6789,483975
36,4,36,4,PHILLIP,DTSZ04,0,83870,39437.93527,130877
37,61,37,5,RAFFLES PLACE,DTSZ05,40,960251,188767.4897,1087040
