Station_code,Station_name,Latitude,Longitude,SUBZONE_NO,SUBZONE_N,SUBZONE_C,PLN_AREA_N,PLN_AREA_C,REGION_N,REGION_C
481,BT PANJANG TEMP BUS PK,1.383764,103.7583,1,TECK WHYE,CKSZ01,CHOA CHU KANG,CK,WEST REGION,WR
1012,Hotel Grand Pacific,1.296848255,103.8525359,10,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
1013,St. Joseph's Ch,1.297709706,103.8532247,10,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
1019,Bras Basah Cplx,1.296989512,103.853022,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1029,Cosmic Insurance Bldg,1.296672985,103.8544142,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1039,Nth Bridge Commercial Cplx,1.298207841,103.8554914,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1059,Bugis Stn Exit B,1.300756795,103.8561104,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1109,Queen St Ter,1.303585776,103.8565037,4,ROCHOR CANAL,RCSZ04,ROCHOR,RC,CENTRAL REGION,CR
1112,Opp Bugis Junction,1.300092128,103.8552003,10,VICTORIA,RCSZ10,ROCHOR,RC,CENTRAL REGION,CR
1113,Bugis Stn Exit A,1.301172975,103.856114,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1119,Bugis Junction,1.299604109,103.8551293,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1121,Stamford Pr Sch,1.303938097,103.85868,4,ROCHOR CANAL,RCSZ04,ROCHOR,RC,CENTRAL REGION,CR
1129,Opp Stamford Pr Sch,1.303502692,103.8586453,5,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
1139,Parkview Sq,1.300330579,103.8571608,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1211,Opp Blk 461,1.305518035,103.860545,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1219,Blk 461,1.305265985,103.8607202,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1229,Bef Sultan Mque,1.303375526,103.8596309,5,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
1231,Opp Textile Ctr,1.30325,103.8610831,5,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
1239,Sultan Plaza,1.302912366,103.8616182,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1311,Lavender Stn Exit B,1.307091646,103.862197,6,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
1319,Lavender Stn Exit A/ICA,1.307574267,103.863256,6,LAVENDER,KLSZ06,KALLANG,KL,CENTRAL REGION,CR
1329,Blk 8,1.304956702,103.8636303,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1339,Bef Crawford Bridge,1.307746017,103.8642627,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
1341,Southbank,1.306475556,103.8645253,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1349,Opp Blk 4,1.305686357,103.8654399,4,KAMPONG BUGIS,KLSZ04,KALLANG,KL,CENTRAL REGION,CR
1411,Opp St. John HQ,1.302113329,103.862956,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1419,St. John HQ,1.30202,103.8632633,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1421,Opp Golden Mile Cplx,1.303384444,103.8648389,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1429,Golden Mile Cplx,1.303213609,103.8650158,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1511,Opp The Gateway,1.299198261,103.8586452,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1519,The Gateway,1.299074925,103.8589103,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1521,Opp Plaza Parkroyal,1.300883044,103.860661,5,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
1529,Plaza Parkroyal,1.300416677,103.8604412,9,CRAWFORD,KLSZ09,KALLANG,KL,CENTRAL REGION,CR
1541,Bugis Stn Exit D,1.298864654,103.8573458,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1549,Opp Duo Residences,1.300698689,103.8587312,5,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
1559,Landmark Village Hotel,1.301687311,103.8575292,5,KAMPONG GLAM,RCSZ05,ROCHOR,RC,CENTRAL REGION,CR
1611,Raffles Hotel,1.295272592,103.8553369,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1619,Esplanade Stn Exit F,1.294286942,103.8550381,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1621,Opp Shaw Twrs,1.296958889,103.8565561,1,BUGIS,DTSZ01,DOWNTOWN CORE,DT,CENTRAL REGION,CR
1629,Shaw Twrs,1.296959722,103.8568653,2,CITY HALL,DTSZ02,DOWNTOWN CORE,DT,CENTRAL REGION,CR
