FID,OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,SUBZONE_NO,SUBZONE_N,SUBZONE_C,population,commerical,Shape_Leng,Shape_Area
0,1,3,0,1,1,MARINA SOUTH,MSSZ01,0,362393,5267.381024,1630379.268
1,2,11,1,2,1,PEARL'S HILL,OTSZ01,7710,367889,3506.107376,559816.2454
2,3,314,2,3,3,BOAT QUAY,SRSZ03,140,134587,1740.925766,160807.4977
3,4,0,3,4,8,HENDERSON HILL,BMSZ08,11870,0,3313.624904,595428.886
4,5,0,4,5,3,REDHILL,BMSZ03,12190,0,2825.594099,387429.44
5,6,88,5,6,7,ALEXANDRA HILL,BMSZ07,14830,1068580,4428.913436,1030378.786
6,7,2,6,7,9,BUKIT HO SWEE,BMSZ09,15650,110853,3275.312488,551732.0495
7,8,21,7,8,2,CLARKE QUAY,SRSZ02,120,263689,2208.619299,290184.6527
8,9,6,8,9,13,PASIR PANJANG 1,QTSZ13,4250,502478,6571.323082,1084792.321
9,10,0,9,10,7,QUEENSWAY,QTSZ07,280,0,3454.239283,631644.2893
10,11,19,10,11,12,KENT RIDGE,QTSZ12,940,585156,7439.547656,1826848.561
11,12,0,11,12,6,ALEXANDRA NORTH,BMSZ06,1060,0,2907.051461,293706.3988
12,13,0,12,13,1,MARINA EAST,MESZ01,0,0,6470.949643,1844060.675
13,14,1,13,14,5,INSTITUTION HILL,RVSZ05,3460,2985.540039,2842.525505,392563.3398
14,15,8,14,15,1,ROBERTSON QUAY,SRSZ01,2640,158308,4995.758114,506588.9598
15,16,0,15,16,1,JURONG ISLAND AND BUKOM,WISZ01,10,0,68083.93647,36707720.92
16,17,0,16,17,3,SUDONG,WISZ03,0,0,24759.0658,4207271.094
17,18,0,17,18,2,SEMAKAU,WISZ02,0,0,18703.68114,4963787.104
18,19,0,18,19,2,SOUTHERN GROUP,SISZ02,0,0,25626.97719,2206319.456
19,20,16,19,20,1,SENTOSA,SISZ01,1690,431476,17496.19374,4919132.37
20,21,1,20,21,17,CITY TERMINALS,BMSZ17,40,34948.19922,16805.6555,3449640.607
21,22,24,21,22,10,ANSON,DTSZ10,90,246993,1586.100059,103238.4821
22,23,0,22,23,1,STRAITS VIEW,SVSZ01,0,0,5277.760827,1127297.237
23,24,12,23,24,1,MARITIME SQUARE,BMSZ01,2770,154409,13737.11618,2701634.34
24,25,0,24,25,14,TELOK BLANGAH WAY,BMSZ14,10160,0,2290.227262,276826.8125
25,26,4,25,26,7,MAXWELL,DTSZ07,0,36436.60156,1419.801857,63664.96677
26,27,33,26,27,8,CECIL,DTSZ08,220,711817,2116.094667,196619.8632
27,28,3,27,28,11,KAMPONG TIONG BAHRU,BMSZ11,9810,84586,3304.060465,365333.4262
28,29,0,28,29,13,TELOK BLANGAH DRIVE,BMSZ13,16490,0,5317.781684,1454827.646
29,30,30,29,30,14,PASIR PANJANG 2,QTSZ14,3330,874578,5797.231319,853206.5717
30,31,9,30,31,11,CENTRAL SUBZONE,DTSZ11,610,828748,5002.016151,1070723.256
31,32,2,31,32,5,SINGAPORE GENERAL HOSPITAL,BMSZ05,10,226369,2915.282048,533017.3907
32,33,5,32,33,12,DEPOT ROAD,BMSZ12,5900,184582,4281.172681,442502.8276
33,34,4,33,34,2,PEOPLE'S PARK,OTSZ02,320,237744,1822.192718,93140.43764
34,35,17,34,35,2,BUKIT MERAH,BMSZ02,1150,457788,3074.963235,411722.8226
35,36,1085,35,36,3,CHINATOWN,OTSZ03,11320,441767,4297.59991,587222.6789
36,37,3,36,37,4,PHILLIP,DTSZ04,0,83870,871.5548878,39437.93527
37,38,57,37,38,5,RAFFLES PLACE,DTSZ05,40,960251,1872.752161,188767.4897
38,39,15,38,39,4,CHINA SQUARE,OTSZ04,1500,196628,1605.279697,133006.936
39,40,6,39,40,10,TIONG BAHRU,BMSZ10,12860,9202.110352,3303.2149,448127.5844
40,41,3,40,41,12,BAYFRONT SUBZONE,DTSZ12,0,187145,2897.126426,521200.5224
41,42,2,41,42,4,TIONG BAHRU STATION,BMSZ04,16200,49081.60156,2506.687919,350787.5614
42,43,12,42,43,6,CLIFFORD PIER,DTSZ06,0,82530.39844,2405.990925,261843.8968
