"","ORIGIN_SUB_C","ORIGIN_SUB_N","DESTINATION_SUB_C","DESTINATION_SUB_N","TOTAL_TRIPS"
"30","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",210837
"31","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ02","CHENG SAN",1019249
"32","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ03","CHONG BOON",1057034
"33","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ04","TOWNSVILLE",462847
"34","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ05","SHANGRI-LA",1032328
"35","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ06","KEBUN BAHRU",573507
"36","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ07","SEMBAWANG HILLS",323796
"37","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ08","TAGORE",94831
"38","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ09","YIO CHU KANG WEST",349778
"39","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ10","YIO CHU KANG",11583
"40","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ11","YIO CHU KANG NORTH",71302
"41","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ12","YIO CHU KANG EAST",173448
"42","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ01","KAKI BUKIT",65340
"43","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ02","BEDOK RESERVOIR",8184
"44","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ03","KEMBANGAN",29293
"45","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ04","BEDOK NORTH",39171
"46","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ05","FRANKEL",5203
"47","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ06","BEDOK SOUTH",4004
"48","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ07","SIGLAP",759
"49","AMSZ01","ANG MO KIO TOWN CENTRE","BDSZ08","BAYSHORE",924
"50","AMSZ01","ANG MO KIO TOWN CENTRE","BKSZ07","BUKIT BATOK CENTRAL",8074
"51","AMSZ01","ANG MO KIO TOWN CENTRE","BKSZ09","BUKIT BATOK SOUTH",1639
"52","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ01","MARITIME SQUARE",3685
"53","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ02","BUKIT MERAH",1045
"54","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ04","TIONG BAHRU STATION",1199
"55","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ05","SINGAPORE GENERAL HOSPITAL",2200
"56","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ08","HENDERSON HILL",506
"57","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ10","TIONG BAHRU",1111
"58","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ16","EVERTON PARK",3388
"59","AMSZ01","ANG MO KIO TOWN CENTRE","BMSZ17","CITY TERMINALS",891
"60","AMSZ01","ANG MO KIO TOWN CENTRE","BSSZ01","UPPER THOMSON",470382
"61","AMSZ01","ANG MO KIO TOWN CENTRE","BSSZ02","MARYMOUNT",146300
"62","AMSZ01","ANG MO KIO TOWN CENTRE","BSSZ03","BISHAN EAST",61435
"63","AMSZ01","ANG MO KIO TOWN CENTRE","BTSZ01","ANAK BUKIT",6006
"64","AMSZ01","ANG MO KIO TOWN CENTRE","BTSZ03","HOLLAND ROAD",3564
"65","AMSZ01","ANG MO KIO TOWN CENTRE","BTSZ06","CORONATION ROAD",5643
"66","AMSZ01","ANG MO KIO TOWN CENTRE","CCSZ01","CENTRAL WATER CATCHMENT",109340
"67","AMSZ01","ANG MO KIO TOWN CENTRE","CHSZ03","CHANGI AIRPORT",29018
"68","AMSZ01","ANG MO KIO TOWN CENTRE","CLSZ06","CLEMENTI CENTRAL",3102
"69","AMSZ01","ANG MO KIO TOWN CENTRE","CLSZ07","CLEMENTI WOODS",176
"70","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ01","BUGIS",22352
"71","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ02","CITY HALL",7260
"72","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ03","MARINA CENTRE",3003
"73","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ06","CLIFFORD PIER",506
"74","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ08","CECIL",1430
"75","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ11","CENTRAL SUBZONE",2519
"76","AMSZ01","ANG MO KIO TOWN CENTRE","DTSZ12","BAYFRONT SUBZONE",2728
"77","AMSZ01","ANG MO KIO TOWN CENTRE","GLSZ02","MACPHERSON",50446
"78","AMSZ01","ANG MO KIO TOWN CENTRE","GLSZ03","KAMPONG UBI",46948
"79","AMSZ01","ANG MO KIO TOWN CENTRE","GLSZ04","ALJUNIED",5577
"80","AMSZ01","ANG MO KIO TOWN CENTRE","GLSZ05","GEYLANG EAST",53031
"81","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ01","HOUGANG CENTRAL",61512
"82","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ02","KANGKAR",45463
"83","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ03","HOUGANG EAST",31471
"84","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ04","HOUGANG WEST",147202
"85","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ05","TRAFALGAR",131659
"86","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ06","KOVAN",36872
"87","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ07","LORONG AH SOO",29491
"88","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ08","TAI SENG",62227
"89","AMSZ01","ANG MO KIO TOWN CENTRE","HGSZ09","DEFU INDUSTRIAL PARK",84810
"90","AMSZ01","ANG MO KIO TOWN CENTRE","KLSZ01","BENDEMEER",12386
"91","AMSZ01","ANG MO KIO TOWN CENTRE","KLSZ02","GEYLANG BAHRU",21340
"92","AMSZ01","ANG MO KIO TOWN CENTRE","KLSZ03","BOON KENG",5313
