"","ORIGIN_SUB_C","ORIGIN_SUB_N","DESTINATION_SUB_C","DESTINATION_SUB_N","TOTAL_TRIPS"
"21","AMSZ01","ANG MO KIO TOWN CENTRE","AMSZ01","ANG MO KIO TOWN CENTRE",32395
"157","AMSZ02","CHENG SAN","AMSZ01","ANG MO KIO TOWN CENTRE",98692
"304","AMSZ03","CHONG BOON","AMSZ01","ANG MO KIO TOWN CENTRE",182765
"414","AMSZ04","TOWNSVILLE","AMSZ01","ANG MO KIO TOWN CENTRE",174603
"536","AMSZ05","SHANGRI-LA","AMSZ01","ANG MO KIO TOWN CENTRE",151954
"615","AMSZ06","KEBUN BAHRU","AMSZ01","ANG MO KIO TOWN CENTRE",607409
"664","AMSZ07","SEMBAWANG HILLS","AMSZ01","ANG MO KIO TOWN CENTRE",20163
"740","AMSZ08","TAGORE","AMSZ01","ANG MO KIO TOWN CENTRE",19151
"804","AMSZ09","YIO CHU KANG WEST","AMSZ01","ANG MO KIO TOWN CENTRE",193919
"865","AMSZ10","YIO CHU KANG","AMSZ01","ANG MO KIO TOWN CENTRE",47685
"1033","AMSZ11","YIO CHU KANG NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",5621
"1111","AMSZ12","YIO CHU KANG EAST","AMSZ01","ANG MO KIO TOWN CENTRE",4631
"1161","BDSZ01","KAKI BUKIT","AMSZ01","ANG MO KIO TOWN CENTRE",3179
"1326","BDSZ02","BEDOK RESERVOIR","AMSZ01","ANG MO KIO TOWN CENTRE",1969
"1474","BDSZ03","KEMBANGAN","AMSZ01","ANG MO KIO TOWN CENTRE",22
"1616","BDSZ04","BEDOK NORTH","AMSZ01","ANG MO KIO TOWN CENTRE",55
"1809","BDSZ05","FRANKEL","AMSZ01","ANG MO KIO TOWN CENTRE",5929
"1952","BDSZ06","BEDOK SOUTH","AMSZ01","ANG MO KIO TOWN CENTRE",5203
"2115","BDSZ07","SIGLAP","AMSZ01","ANG MO KIO TOWN CENTRE",88
"2213","BDSZ08","BAYSHORE","AMSZ01","ANG MO KIO TOWN CENTRE",319
"3246","BMSZ01","MARITIME SQUARE","AMSZ01","ANG MO KIO TOWN CENTRE",682
"3444","BMSZ02","BUKIT MERAH","AMSZ01","ANG MO KIO TOWN CENTRE",22
